Rank,Channel Name,Subscribers,Total Views,Total Videos,Category,Channel Type,Views Rank,Views Last 30 Days,Min Monthly Earnings,Max Monthly Earnings,Min Yearly Earnings,Max Yearly Earnings,Year,Month,Day,Month no.,Created Date
723,Colors Rishtey,14700000,12362331529,23490,Entertainment,Entertainment,310,347603000,86900,1400000,1000000,16700000,2013,Nov,28,11,28-Nov-13
726,Doc Tops,14600000,2613197447,490,Entertainment,Entertainment,3458,16409000,4100,65600,49200,787600,2014,Dec,29,12,29-Dec-14
737,Like Nastya Stories,14500000,6944967581,479,Entertainment,Entertainment,848,29941000,7500,119800,89800,1400000,2019,Sep,9,9,09-Sep-19
741,Reaction Time,14500000,4260187928,1717,Entertainment,Entertainment,1747,9910000,2500,39600,29700,475700,2015,Apr,25,4,25-Apr-15
746,Telemundo,14500000,8582696157,19201,Entertainment,Entertainment,592,48285000,12100,193100,144900,2300000,2007,Jan,3,1,03-Jan-07
747,Gmm25Thailand,14500000,9383692066,68606,Entertainment,Entertainment,502,45622000,11400,182500,136900,2200000,2011,Jun,8,6,08-Jun-11
755,Drawblogs,14400000,1629801448,399,Entertainment,Entertainment,6402,1002000,251,4000,3000,48100,2014,May,20,5,20-May-14
765,Rs 1313 Shorts,14400000,8011977288,5628,Entertainment,Entertainment,647,212639000,53200,850600,637900,10200000,2020,Oct,24,10,24-Oct-20
768,Zee5,14400000,18515587421,101401,Entertainment,Entertainment,142,149799000,37400,599200,449400,7200000,2018,Feb,13,2,13-Feb-18
773,Sis Vs Bro,14200000,6973932553,60,Entertainment,Entertainment,3739171,105,0.03,0.42,0.32,5,2016,Aug,3,8,03-Aug-16
781,Zee Bangla,14200000,11428794827,132398,Entertainment,Entertainment,352,59927000,15000,239700,179800,2900000,2008,Feb,26,2,26-Feb-08
782,Dangmattsmith,14200000,3317805543,1724,Entertainment,Entertainment,2485,12902000,3200,51600,38700,619300,2011,Aug,18,8,18-Aug-11
784,#Refugio Mental,14100000,3594936775,846,Entertainment,Entertainment,2218,6942000,1700,27800,20800,333200,2013,Aug,10,8,10-Aug-13
788,Yudist Ardhana,14100000,6036496916,2854,Entertainment,Entertainment,1029,176062000,44000,704200,528200,8500000,2016,Jan,6,1,06-Jan-16
792,Bie The Ska,14100000,4627069704,1540,Entertainment,Entertainment,1531,12502000,3100,50000,37500,600100,2006,Oct,3,10,03-Oct-06
808,Adel Et Sami,13900000,5465532801,503,Entertainment,Entertainment,1200,26883000,6700,107500,80600,1300000,2018,Mar,12,3,12-Mar-18
814,Airrack,13800000,2224911030,173,Entertainment,Entertainment,4285,99654000,24900,398600,299000,4800000,2015,Jan,3,1,03-Jan-15
824,Maiki021,13700000,1950178163,3298,Entertainment,Entertainment,5135,7438000,1900,29800,22300,357000,2008,Jan,22,1,22-Jan-08
847,Vijay Kumar Viner Vlogs,13500000,7958771872,1357,Entertainment,Entertainment,663,109813000,27500,439300,329400,5300000,2019,Mar,22,3,22-Mar-19
863,Matt Steffanina,13300000,3299216601,331,Entertainment,Entertainment,14275,1929000,482,7700,5800,92600,2007,Nov,28,11,28-Nov-07
865,Kurt Hugo Schneider,13300000,3733856870,698,Entertainment,Entertainment,2110,4233000,1100,16900,12700,203200,2007,Oct,16,10,16-Oct-07
881,Mc Divertida,13200000,5224764969,413,Entertainment,Entertainment,1269,64517000,16100,258100,193600,3100000,2018,Jan,17,1,17-Jan-18
890,Ian Boggs,13100000,9110348202,1327,Entertainment,Entertainment,520,329312000,82300,1300000,987900,15800000,2010,Mar,25,3,25-Mar-10
898,Redetv,13100000,5333569294,36760,Entertainment,Entertainment,1240,17588000,4400,70400,52800,844200,2011,Oct,18,10,18-Oct-11
901,Davie504,13000000,2683297849,838,Entertainment,Entertainment,3340,29870000,7500,119500,89600,1400000,2011,May,18,5,18-May-11
907,Jesseandmike,13000000,9999238237,716,Entertainment,Entertainment,440,41109000,10300,164400,123300,2000000,2007,Apr,29,4,29-Apr-07
909,Susy Mouriz,13000000,6270909026,1299,Entertainment,Entertainment,969,368437000,92100,1500000,1100000,17700000,2017,Mar,18,3,18-Mar-17
913,Matheus Yurley,12900000,140022442,69,Entertainment,Entertainment,93531,147626,37,591,443,7100,2015,Jan,27,1,27-Jan-15
916,Top Viral Talent,12900000,3643698504,1598,Entertainment,Entertainment,2177,29379000,7300,117500,88100,1400000,2014,Jan,2,1,02-Jan-14
927,Mrsuicidesheep,12800000,6970899521,3483,Entertainment,Entertainment,842,18118000,4500,72500,54400,869600,2010,Apr,9,4,09-Apr-10
949,Colinfurze,12500000,1612094871,385,Entertainment,Entertainment,6487,8482000,2100,33900,25400,407200,2006,Nov,15,11,15-Nov-06
950,People Vs Food,12500000,1136534702,601,Entertainment,Entertainment,9980,15340000,3800,61400,46000,736300,2013,Jul,30,7,30-Jul-13
960,Parafernalha,12500000,4625777945,1888,Entertainment,Entertainment,1532,7158000,1800,28600,21500,343600,2011,May,13,5,13-May-11
963,Family Fitness,12500000,10384848759,1699,Entertainment,Entertainment,413,235715000,58900,942900,707100,11300000,2017,Jan,18,1,18-Jan-17
964,Zee Tamil,12500000,11552190002,102699,Entertainment,Entertainment,342,349940000,87500,1400000,1000000,16800000,2008,Aug,26,8,26-Aug-08
965,Flowers Comedy,12500000,11691081301,11907,Entertainment,Entertainment,337,180021000,45000,720100,540100,8600000,2015,Aug,19,8,19-Aug-15
977,Saaihalilintar,12400000,1113066203,409,Entertainment,Entertainment,10271,806075,202,3200,2400,38700,2012,Apr,28,4,28-Apr-12
979,Heidi And Zidane Hzhtube,12400000,4021409291,813,Entertainment,Entertainment,1900,9595000,2400,38400,28800,460600,2015,Nov,24,11,24-Nov-15
5,Set India,159000000,1.48E+11,116536,Shows,Entertainment,3,1824000000,455900,7300000,5500000,87500000,2006,Sep,20,9,20-Sep-06
8,Pewdiepie,111000000,29058044447,4716,Gaming,Entertainment,44,39184000,9800,156700,117600,1900000,2010,Apr,29,4,29-Apr-10
16,Sony Sab,83000000,1.01E+11,71270,Shows,Entertainment,4,1657000000,414300,6600000,5000000,79600000,2007,Aug,4,8,04-Aug-07
27,Colors Tv,64600000,61510906457,112915,Shows,Entertainment,10,1188000000,296900,4800000,3600000,57000000,2008,Jun,13,6,13-Jun-08
61,Abs-Cbn Entertainment,44200000,50292540392,193890,People & Blogs,Entertainment,16,176629000,44200,706500,529900,8500000,2008,Jul,16,7,16-Jul-08
75,Elrubiusomg,40400000,7410536668,703,Gaming,Entertainment,756,5773000,1400,23100,17300,277100,2011,Dec,20,12,20-Dec-11
90,Sony Pal,38200000,28519339489,24089,Shows,Entertainment,49,415914000,104000,1700000,1200000,20000000,2014,May,9,5,09-May-14
